Financial Year,Type of flow,Country,Sector,Sector Name,Expense $'000
2014/15,ODA,Oceania Unspecified,31320,Fishery development,95.6
2014/15,ODA,Oceania Unspecified,32268,Offshore minerals,191.2
2014/15,ODA,Oceania Unspecified,33110,Trade policy and administrative management,2170
2014/15,ODA,Oceania Unspecified,33120,Trade facilitation,633.6
2014/15,ODA,Pakistan,23010,Energy policy and administrative management,1000
2014/15,ODA,Pakistan,23030,Power generation/renewable sources,28.4
2014/15,ODA,Pakistan,25010,Business support services and institutions,2524.5
2014/15,ODA,Pakistan,31120,Agricultural development,8339.8
2014/15,ODA,Pakistan,31140,Agricultural water resources,1657.1
2014/15,ODA,Pakistan,31166,Agricultural extension,145.6
2014/15,ODA,Pakistan,31182,Agricultural research,115.9
2014/15,ODA,Pakistan,33110,Trade policy and administrative management,3602
2014/15,ODA,Palestinian Territories,31120,Agricultural development,57.3
2014/15,ODA,Palestinian Territories,31191,Agricultural services,332.3
2014/15,ODA,Papua New Guinea,21010,Transport policy and administrative management,71781.9
2014/15,ODA,Papua New Guinea,21020,Road transport,1264.3
2014/15,ODA,Papua New Guinea,22030,Radio/television/print media,112.3
2014/15,ODA,Papua New Guinea,23010,Energy policy and administrative management,500.9
2014/15,ODA,Papua New Guinea,24010,Financial policy and administrative management,9473.3
2014/15,ODA,Papua New Guinea,24040,Informal/semi-formal financial intermediaries,1988
2014/15,ODA,Papua New Guinea,25010,Business support services and institutions,5584
2014/15,ODA,Papua New Guinea,31110,Agricultural policy and administrative management,630.4
2014/15,ODA,Papua New Guinea,31120,Agricultural development,136.7
2014/15,ODA,Papua New Guinea,31161,Food crop production,119.5
2014/15,ODA,Papua New Guinea,31162,Industrial crops/export crops,71.2
2014/15,ODA,Papua New Guinea,31163,Livestock,36.1
2014/15,ODA,Papua New Guinea,31181,Agricultural education/training,59.2
2014/15,ODA,Papua New Guinea,31182,Agricultural research,7227.6
2014/15,ODA,Papua New Guinea,31195,Livestock/veterinary services,3.1
2014/15,ODA,Papua New Guinea,31282,Forestry research,1015.9
2014/15,ODA,Papua New Guinea,31310,Fishing policy and administrative management,343.8
2014/15,ODA,Papua New Guinea,31320,Fishery development,388
2014/15,ODA,Papua New Guinea,31381,Fishery education/training,22.5
2014/15,ODA,Papua New Guinea,31382,Fishery research,914.1
2014/15,ODA,Papua New Guinea,32130,Small and medium-sized enterprises (SME) development,575.7
2014/15,ODA,Papua New Guinea,32140,Cottage industries and handicraft,44.9
2014/15,ODA,Papua New Guinea,32210,Mineral/mining policy and administrative management,1919.3
2014/15,ODA,Papua New Guinea,33110,Trade policy and administrative management,94.9
2014/15,ODA,Papua New Guinea,33120,Trade facilitation,2776.4
2014/15,ODA,Papua New Guinea,33210,Tourism policy and administrative management,67.4
2014/15,ODA,Paraguay,25010,Business support services and institutions,37.8
2014/15,ODA,Paraguay,31163,Livestock,34.2
2014/15,ODA,Peru,31163,Livestock,142.7
2014/15,ODA,Peru,32210,Mineral/mining policy and administrative management,569.4
2014/15,ODA,Peru,33120,Trade facilitation,49.8
2014/15,ODA,Philippines,21010,Transport policy and administrative management,4.7
2014/15,ODA,Philippines,21020,Road transport,18037.2
2014/15,ODA,Philippines,21081,Education and training in transport and storage,23.6
2014/15,ODA,Philippines,22010,Communications policy and administrative management,22.5
2014/15,ODA,Philippines,22040,Information and communication technology (ICT),44.9
2014/15,ODA,Philippines,24010,Financial policy and administrative management,733.9
2014/15,ODA,Philippines,24040,Informal/semi-formal financial intermediaries,1381.6
2014/15,ODA,Philippines,31110,Agricultural policy and administrative management,610.6
2014/15,ODA,Philippines,31120,Agricultural development,140.3
2014/15,ODA,Philippines,31130,Agricultural land resources,357.8
2014/15,ODA,Philippines,31150,Agricultural inputs,49.2
2014/15,ODA,Philippines,31161,Food crop production,22.5
2014/15,ODA,Philippines,31163,Livestock,269.6
2014/15,ODA,Philippines,31181,Agricultural education/training,44.9
2014/15,ODA,Philippines,31182,Agricultural research,3519.8
2014/15,ODA,Philippines,31195,Livestock/veterinary services,126.1
2014/15,ODA,Philippines,32110,Industrial policy and administrative management,22.5
2014/15,ODA,Philippines,32130,Small and medium-sized enterprises (SME) development,239.5
2014/15,ODA,Philippines,32140,Cottage industries and handicraft,65.6
2014/15,ODA,Philippines,32210,Mineral/mining policy and administrative management,766.2
2014/15,ODA,Philippines,33110,Trade policy and administrative management,650.9
2014/15,ODA,Philippines,33120,Trade facilitation,49.8
2014/15,ODA,Philippines,33210,Tourism policy and administrative management,44.9
2014/15,ODA,Rwanda,31182,Agricultural research,588.6
2014/15,ODA,Rwanda,31282,Forestry research,335
2014/15,ODA,Rwanda,32210,Mineral/mining policy and administrative management,384.4
2014/15,ODA,Samoa,21010,Transport policy and administrative management,1718.8
2014/15,ODA,Samoa,22040,Information and communication technology (ICT),22.5
2014/15,ODA,Samoa,23010,Energy policy and administrative management,111.6
2014/15,ODA,Samoa,24010,Financial policy and administrative management,22.5
2014/15,ODA,Samoa,24040,Informal/semi-formal financial intermediaries,110
2014/15,ODA,Samoa,25010,Business support services and institutions,1539.7
2014/15,ODA,Samoa,31110,Agricultural policy and administrative management,526.7
2014/15,ODA,Samoa,31130,Agricultural land resources,50.7
2014/15,ODA,Samoa,31162,Industrial crops/export crops,1.4
2014/15,ODA,Samoa,31181,Agricultural education/training,48.6
2014/15,ODA,Samoa,31182,Agricultural research,149.9
2014/15,ODA,Samoa,31210,Forestry policy and administrative management,12
2014/15,ODA,Samoa,31282,Forestry research,13.4
2014/15,ODA,Samoa,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Samoa,31320,Fishery development,263.2
2014/15,ODA,Samoa,31382,Fishery research,91
2014/15,ODA,Samoa,32110,Industrial policy and administrative management,44.9
2014/15,ODA,Samoa,33110,Trade policy and administrative management,623.6
2014/15,ODA,Senegal,31166,Agricultural extension,63.9
2014/15,ODA,Senegal,31182,Agricultural research,63.9
2014/15,ODA,Senegal,31320,Fishery development,29.3
2014/15,ODA,Senegal,32210,Mineral/mining policy and administrative management,148.3
2014/15,ODA,Serbia,25010,Business support services and institutions,12.7
2014/15,ODA,Sierra Leone,31150,Agricultural inputs,55.4
2014/15,ODA,Sierra Leone,32210,Mineral/mining policy and administrative management,20
2014/15,ODA,Solomon Islands,21010,Transport policy and administrative management,659.3
2014/15,ODA,Solomon Islands,21020,Road transport,5181.7
2014/15,ODA,Solomon Islands,22010,Communications policy and administrative management,65
2014/15,ODA,Solomon Islands,22030,Radio/television/print media,22.5
2014/15,ODA,Solomon Islands,22040,Information and communication technology (ICT),42.5
2014/15,ODA,Solomon Islands,23010,Energy policy and administrative management,22.5
2014/15,ODA,Solomon Islands,23030,Power generation/renewable sources,10.2
2014/15,ODA,Solomon Islands,23065,Hydro-electric power plants,665
2014/15,ODA,Solomon Islands,23067,Solar energy,149.8
2014/15,ODA,Solomon Islands,24040,Informal/semi-formal financial intermediaries,2627.7
2014/15,ODA,Solomon Islands,25010,Business support services and institutions,4515.1
2014/15,ODA,Solomon Islands,31110,Agricultural policy and administrative management,1129.7
2014/15,ODA,Solomon Islands,31120,Agricultural development,439.3
2014/15,ODA,Solomon Islands,31162,Industrial crops/export crops,0.4
2014/15,ODA,Solomon Islands,31181,Agricultural education/training,72.9
2014/15,ODA,Solomon Islands,31182,Agricultural research,275.8
2014/15,ODA,Solomon Islands,31194,Agricultural co-operatives,9.6
2014/15,ODA,Solomon Islands,31195,Livestock/veterinary services,42.5
2014/15,ODA,Solomon Islands,31282,Forestry research,372.7
2014/15,ODA,Solomon Islands,31310,Fishing policy and administrative management,497.3
2014/15,ODA,Solomon Islands,31320,Fishery development,716.3
2014/15,ODA,Solomon Islands,32120,Industrial development,22.5
2014/15,ODA,Solomon Islands,32130,Small and medium-sized enterprises (SME) development,157.2
2014/15,ODA,Solomon Islands,32210,Mineral/mining policy and administrative management,30
2014/15,ODA,Solomon Islands,33110,Trade policy and administrative management,1121.7
2014/15,ODA,South & Central Asia Unspecified,31140,Agricultural water resources,1991
2014/15,ODA,South & Central Asia Unspecified,32182,Technological research and development,105.2
2014/15,ODA,South & Central Asia Unspecified,33110,Trade policy and administrative management,1713.7
2014/15,ODA,South & Central Asia Unspecified,33120,Trade facilitation,5751.1
2014/15,ODA,South Africa,22030,Radio/television/print media,42.5
2014/15,ODA,South Africa,31181,Agricultural education/training,52.6
2014/15,ODA,South Africa,31182,Agricultural research,147.6
2014/15,ODA,South Africa,32210,Mineral/mining policy and administrative management,537.9
2014/15,ODA,South Of Sahara Unspecified,31120,Agricultural development,127.4
2014/15,ODA,South Of Sahara Unspecified,32210,Mineral/mining policy and administrative management,11.1
2014/15,ODA,South Sudan,31161,Food crop production,274.9
2014/15,ODA,South Sudan,31181,Agricultural education/training,78.6
2014/15,ODA,South Sudan,32210,Mineral/mining policy and administrative management,484.1
2014/15,ODA,Sri Lanka,24010,Financial policy and administrative management,669.6
2014/15,ODA,Sri Lanka,31120,Agricultural development,710.7
2014/15,ODA,Sri Lanka,31161,Food crop production,479.1
2014/15,ODA,Sri Lanka,31163,Livestock,240
2014/15,ODA,Sri Lanka,31291,Forestry services,1211
2014/15,ODA,Sri Lanka,33110,Trade policy and administrative management,64.6
2014/15,ODA,St.Lucia,31163,Livestock,29.9
2014/15,ODA,Sudan,31182,Agricultural research,78.4
2014/15,ODA,Sudan,32210,Mineral/mining policy and administrative management,14.7
2014/15,ODA,Suriname,31161,Food crop production,35.9
2014/15,ODA,Swaziland,22030,Radio/television/print media,42.5
2014/15,ODA,Swaziland,22040,Information and communication technology (ICT),42.5
2014/15,ODA,Swaziland,31120,Agricultural development,131.5
2014/15,ODA,Swaziland,31161,Food crop production,42.5
2014/15,ODA,Swaziland,32140,Cottage industries and handicraft,42.5
2014/15,ODA,Tanzania,22040,Information and communication technology (ICT),42.5
2014/15,ODA,Tanzania,25010,Business support services and institutions,127.5
2014/15,ODA,Tanzania,31110,Agricultural policy and administrative management,42.5
2014/15,ODA,Tanzania,31120,Agricultural development,42.5
2014/15,ODA,Tanzania,31140,Agricultural water resources,285.5
2014/15,ODA,Tanzania,31181,Agricultural education/training,399
2014/15,ODA,Tanzania,31182,Agricultural research,2511
2014/15,ODA,Tanzania,31194,Agricultural co-operatives,29.7
2014/15,ODA,Tanzania,31281,Forestry education/training,85
2014/15,ODA,Tanzania,32210,Mineral/mining policy and administrative management,1671.2
2014/15,ODA,Thailand,21010,Transport policy and administrative management,4.7
2014/15,ODA,Thailand,21081,Education and training in transport and storage,23.6
2014/15,ODA,Thailand,22010,Communications policy and administrative management,22.5
2014/15,ODA,Thailand,23065,Hydro-electric power plants,125
2014/15,ODA,Thailand,25010,Business support services and institutions,22.5
2014/15,ODA,Thailand,31110,Agricultural policy and administrative management,200
2014/15,ODA,Thailand,31182,Agricultural research,202.1
2014/15,ODA,Thailand,31310,Fishing policy and administrative management,8.6
2014/15,ODA,Thailand,31382,Fishery research,75
2014/15,ODA,Thailand,33110,Trade policy and administrative management,673.4
2014/15,ODA,Thailand,33120,Trade facilitation,49.8
2014/15,ODA,Timor-Leste,21020,Road transport,5954.5
2014/15,ODA,Timor-Leste,22010,Communications policy and administrative management,37.2
2014/15,ODA,Timor-Leste,22030,Radio/television/print media,67.4
2014/15,ODA,Timor-Leste,24010,Financial policy and administrative management,5787.5
2014/15,ODA,Timor-Leste,24040,Informal/semi-formal financial intermediaries,687.3
2014/15,ODA,Timor-Leste,25010,Business support services and institutions,3285.8
2014/15,ODA,Timor-Leste,31110,Agricultural policy and administrative management,571.6
2014/15,ODA,Timor-Leste,31120,Agricultural development,3253.4
2014/15,ODA,Timor-Leste,31130,Agricultural land resources,324.1
2014/15,ODA,Timor-Leste,31161,Food crop production,1096.6
2014/15,ODA,Timor-Leste,31166,Agricultural extension,380.1
2014/15,ODA,Timor-Leste,31181,Agricultural education/training,44.2
2014/15,ODA,Timor-Leste,31182,Agricultural research,796.9
2014/15,ODA,Timor-Leste,31220,Forestry development,335.9
2014/15,ODA,Timor-Leste,32130,Small and medium-sized enterprises (SME) development,67.4
2014/15,ODA,Timor-Leste,32182,Technological research and development,1212.9
2014/15,ODA,Timor-Leste,33210,Tourism policy and administrative management,42.5
2014/15,ODA,Togo,32210,Mineral/mining policy and administrative management,41.8
2014/15,ODA,Tonga,23030,Power generation/renewable sources,1133.9
2014/15,ODA,Tonga,24010,Financial policy and administrative management,67.4
2014/15,ODA,Tonga,24040,Informal/semi-formal financial intermediaries,121
2014/15,ODA,Tonga,25010,Business support services and institutions,1391.7
2014/15,ODA,Tonga,31110,Agricultural policy and administrative management,526.7
2014/15,ODA,Tonga,31120,Agricultural development,87.2
2014/15,ODA,Tonga,31181,Agricultural education/training,48.6
2014/15,ODA,Tonga,31182,Agricultural research,151.4
2014/15,ODA,Tonga,31282,Forestry research,32.5
2014/15,ODA,Tonga,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Tonga,31320,Fishery development,285.6
2014/15,ODA,Tonga,31382,Fishery research,171.4
2014/15,ODA,Tonga,33110,Trade policy and administrative management,623.6
2014/15,ODA,Turkey,31181,Agricultural education/training,6.2
2014/15,ODA,Tuvalu,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Tuvalu,25010,Business support services and institutions,50
2014/15,ODA,Tuvalu,31110,Agricultural policy and administrative management,526.7
2014/15,ODA,Tuvalu,31181,Agricultural education/training,24.3
2014/15,ODA,Tuvalu,31182,Agricultural research,2
2014/15,ODA,Tuvalu,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Tuvalu,31320,Fishery development,263.2
2014/15,ODA,Tuvalu,33110,Trade policy and administrative management,94.9
2014/15,ODA,Uganda,31120,Agricultural development,1386.2
2014/15,ODA,Uganda,31150,Agricultural inputs,8.7
2014/15,ODA,Uganda,31161,Food crop production,681.2
2014/15,ODA,Uganda,31166,Agricultural extension,116
2014/15,ODA,Uganda,31182,Agricultural research,598.6
2014/15,ODA,Uganda,31194,Agricultural co-operatives,97.7
2014/15,ODA,Uganda,31282,Forestry research,645.4
2014/15,ODA,Uganda,32210,Mineral/mining policy and administrative management,448
2014/15,ODA,Ukraine,31181,Agricultural education/training,14.9
2014/15,ODA,Vanuatu,21010,Transport policy and administrative management,8394.6
2014/15,ODA,Vanuatu,21050,Air transport,14
2014/15,ODA,Vanuatu,22010,Communications policy and administrative management,37.2
2014/15,ODA,Vanuatu,22020,Telecommunications,340
2014/15,ODA,Vanuatu,23010,Energy policy and administrative management,800
2014/15,ODA,Vanuatu,24040,Informal/semi-formal financial intermediaries,165
2014/15,ODA,Vanuatu,25010,Business support services and institutions,1622
2014/15,ODA,Vanuatu,31110,Agricultural policy and administrative management,549.1
2014/15,ODA,Vanuatu,31130,Agricultural land resources,22.5
2014/15,ODA,Vanuatu,31161,Food crop production,116.9
2014/15,ODA,Vanuatu,31162,Industrial crops/export crops,18
2014/15,ODA,Vanuatu,31166,Agricultural extension,252.7
2014/15,ODA,Vanuatu,31181,Agricultural education/training,24.3
2014/15,ODA,Vanuatu,31182,Agricultural research,101.4
2014/15,ODA,Vanuatu,31220,Forestry development,22.5
2014/15,ODA,Vanuatu,31282,Forestry research,448.6
2014/15,ODA,Vanuatu,31310,Fishing policy and administrative management,440
2014/15,ODA,Vanuatu,31320,Fishery development,285.7
2014/15,ODA,Vanuatu,31382,Fishery research,420
2014/15,ODA,Vanuatu,32130,Small and medium-sized enterprises (SME) development,89.8
2014/15,ODA,Vanuatu,32182,Technological research and development,71.9
2014/15,ODA,Vanuatu,33110,Trade policy and administrative management,623.6
2014/15,ODA,Vanuatu,33210,Tourism policy and administrative management,112.3
2014/15,ODA,Viet Nam,21010,Transport policy and administrative management,2683.1
2014/15,ODA,Viet Nam,21020,Road transport,53720.2
2014/15,ODA,Viet Nam,21081,Education and training in transport and storage,23.6
2014/15,ODA,Viet Nam,22010,Communications policy and administrative management,22.5
2014/15,ODA,Viet Nam,22040,Information and communication technology (ICT),22.5
2014/15,ODA,Viet Nam,23030,Power generation/renewable sources,44.9
2014/15,ODA,Viet Nam,23065,Hydro-electric power plants,125
2014/15,ODA,Viet Nam,23070,Biomass,42.5
2014/15,ODA,Viet Nam,24010,Financial policy and administrative management,1594.6
2014/15,ODA,Viet Nam,24081,Education/training in banking and financial services,22.5
2014/15,ODA,Viet Nam,25010,Business support services and institutions,3266.5
2014/15,ODA,Viet Nam,31110,Agricultural policy and administrative management,726.7
2014/15,ODA,Viet Nam,31120,Agricultural development,125.6
2014/15,ODA,Viet Nam,31130,Agricultural land resources,436.9
2014/15,ODA,Viet Nam,31161,Food crop production,270.4
2014/15,ODA,Viet Nam,31163,Livestock,134.4
2014/15,ODA,Viet Nam,31181,Agricultural education/training,534.9
2014/15,ODA,Viet Nam,31182,Agricultural research,3818.3
2014/15,ODA,Viet Nam,31193,Agricultural financial services,22.5
2014/15,ODA,Viet Nam,31194,Agricultural co-operatives,19.2
2014/15,ODA,Viet Nam,31195,Livestock/veterinary services,84
2014/15,ODA,Viet Nam,31210,Forestry policy and administrative management,333.6
2014/15,ODA,Viet Nam,31220,Forestry development,19.6
2014/15,ODA,Viet Nam,31282,Forestry research,127.5
2014/15,ODA,Viet Nam,31310,Fishing policy and administrative management,31.1
2014/15,ODA,Viet Nam,32130,Small and medium-sized enterprises (SME) development,22.5
2014/15,ODA,Viet Nam,32140,Cottage industries and handicraft,112.3
2014/15,ODA,Viet Nam,32182,Technological research and development,324
2014/15,ODA,Viet Nam,32210,Mineral/mining policy and administrative management,20
2014/15,ODA,Viet Nam,33110,Trade policy and administrative management,650.9
2014/15,ODA,Viet Nam,33120,Trade facilitation,49.8
2014/15,ODA,Viet Nam,33210,Tourism policy and administrative management,22.5
2014/15,ODA,Zambia,21020,Road transport,42.5
2014/15,ODA,Zambia,24081,Education/training in banking and financial services,42.5
2014/15,ODA,Zambia,25010,Business support services and institutions,42.5
2014/15,ODA,Zambia,31120,Agricultural development,154.3
2014/15,ODA,Zambia,31181,Agricultural education/training,388
2014/15,ODA,Zambia,31182,Agricultural research,792.6
2014/15,ODA,Zambia,31282,Forestry research,159.9
2014/15,ODA,Zambia,32210,Mineral/mining policy and administrative management,1316.3
2014/15,ODA,Zimbabwe,24040,Informal/semi-formal financial intermediaries,377
2014/15,ODA,Zimbabwe,31120,Agricultural development,41.9
2014/15,ODA,Zimbabwe,31161,Food crop production,339.1
2014/15,ODA,Zimbabwe,31163,Livestock,87.5
2014/15,ODA,Zimbabwe,31166,Agricultural extension,435.2
2014/15,ODA,Zimbabwe,31182,Agricultural research,1148.3
2014/15,ODA,Zimbabwe,31191,Agricultural services,137.8
2014/15,ODA,Zimbabwe,32210,Mineral/mining policy and administrative management,182.1
2014/15,ODA,Albania,22030,Radio/television/print media,14.6
2014/15,ODA,Angola,32210,Mineral/mining policy and administrative management,4.7
2014/15,ODA,Central African Rep.,32210,Mineral/mining policy and administrative management,4.7
2014/15,ODA,"Congo, Rep.",32210,Mineral/mining policy and administrative management,44.7
2014/15,ODA,Cook Islands,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Cook Islands,25010,Business support services and institutions,50
2014/15,ODA,Cook Islands,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Cook Islands,31320,Fishery development,263.2
2014/15,ODA,Cook Islands,33110,Trade policy and administrative management,124.8
2014/15,ODA,Gabon,32210,Mineral/mining policy and administrative management,30
2014/15,ODA,Guinea,32210,Mineral/mining policy and administrative management,59.9
2014/15,ODA,"Korea, Democratic People's Republic Of",33120,Trade facilitation,5.2
2014/15,ODA,Kyrgyzstan,31120,Agricultural development,142.9
2014/15,ODA,Mauritania,32210,Mineral/mining policy and administrative management,58.1
2014/15,ODA,Morocco,32210,Mineral/mining policy and administrative management,10
2014/15,ODA,Nauru,23010,Energy policy and administrative management,2878.8
2014/15,ODA,Nauru,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Nauru,25010,Business support services and institutions,100
2014/15,ODA,Nauru,31310,Fishing policy and administrative management,553.3
2014/15,ODA,Nauru,31320,Fishery development,263.2
2014/15,ODA,Nauru,33110,Trade policy and administrative management,64.9
2014/15,ODA,Nicaragua,31381,Fishery education/training,36.1
2014/15,ODA,Niger,32210,Mineral/mining policy and administrative management,67.1
2014/15,ODA,Niue,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Niue,25010,Business support services and institutions,50
2014/15,ODA,Niue,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Niue,31320,Fishery development,263.2
2014/15,ODA,Niue,33110,Trade policy and administrative management,124.8
2014/15,ODA,Palau,23010,Energy policy and administrative management,15
2014/15,ODA,Palau,24040,Informal/semi-formal financial intermediaries,11
2014/15,ODA,Palau,25010,Business support services and institutions,250
2014/15,ODA,Palau,31310,Fishing policy and administrative management,411.4
2014/15,ODA,Palau,31320,Fishery development,263.2
2014/15,ODA,Palau,33110,Trade policy and administrative management,94.9
2014/15,ODA,Seychelles,32210,Mineral/mining policy and administrative management,58.8
2014/15,ODA,Tokelau,24040,Informal/semi-formal financial intermediaries,121
2014/15,ODA,Tokelau,31310,Fishing policy and administrative management,105.2
2014/15,ODA,Tokelau,31320,Fishery development,167.6
2014/15,ODA,Uruguay,32210,Mineral/mining policy and administrative management,20
2014/15,ODA,Wallis & Futuna,24040,Informal/semi-formal financial intermediaries,11
2014/15,OOF,Argentina,31181,Agricultural education/training,1.6
2014/15,OOF,Asia Unspecified,22010,Communications policy and administrative management,1061.8
2014/15,OOF,Asia Unspecified,33120,Trade facilitation,43
2014/15,OOF,Cambodia,21081,Education and training in transport and storage,10
2014/15,OOF,Chile,31182,Agricultural research,2.4
2014/15,OOF,Chile,31382,Fishery research,2.3
2014/15,OOF,Chile,32120,Industrial development,50
2014/15,OOF,China,25010,Business support services and institutions,10
2014/15,OOF,China,31110,Agricultural policy and administrative management,15
2014/15,OOF,China,32163,"Textiles, leather and substitutes",20
2014/15,OOF,China,32210,Mineral/mining policy and administrative management,15
2014/15,OOF,China,33120,Trade facilitation,28.2
2014/15,OOF,Far East Asia Unspecified,21010,Transport policy and administrative management,219.9
2014/15,OOF,Fiji,32182,Technological research and development,6.6
2014/15,OOF,Global Unspecified,21081,Education and training in transport and storage,50.2
2014/15,OOF,Global Unspecified,24010,Financial policy and administrative management,122.9
2014/15,OOF,Global Unspecified,31110,Agricultural policy and administrative management,146.3
2014/15,OOF,India,21010,Transport policy and administrative management,48.3
2014/15,OOF,India,25010,Business support services and institutions,9
2014/15,OOF,India,31182,Agricultural research,2.7
2014/15,OOF,India,31192,Plant and post-harvest protection and pest control,2.3
2014/15,OOF,India,33110,Trade policy and administrative management,28
2014/15,OOF,India,33120,Trade facilitation,47.4
2014/15,OOF,Indonesia,21010,Transport policy and administrative management,256.7
2014/15,OOF,Indonesia,21050,Air transport,153.8
2014/15,OOF,Indonesia,31120,Agricultural development,485.2
2014/15,OOF,Indonesia,31195,Livestock/veterinary services,4
2014/15,OOF,Indonesia,31310,Fishing policy and administrative management,163
2014/15,OOF,Indonesia,33110,Trade policy and administrative management,3.7
2014/15,OOF,Kiribati,31320,Fishery development,218
2014/15,OOF,Marshall Islands,31320,Fishery development,71
2014/15,OOF,"Micronesia, Fed. Sts.",31320,Fishery development,105.2
2014/15,OOF,Nepal,24010,Financial policy and administrative management,21.3
2014/15,OOF,Oceania Unspecified,33181,Trade education/training,397
2014/15,OOF,Pakistan,24020,Monetary institutions,2.5
2014/15,OOF,Papua New Guinea,21010,Transport policy and administrative management,6.4
2014/15,OOF,Papua New Guinea,33110,Trade policy and administrative management,11
2014/15,OOF,Peru,32210,Mineral/mining policy and administrative management,32
2014/15,OOF,Philippines,21010,Transport policy and administrative management,6.4
2014/15,OOF,Philippines,21050,Air transport,192.7
2014/15,OOF,Samoa,31320,Fishery development,81.9
2014/15,OOF,Solomon Islands,31320,Fishery development,735
2014/15,OOF,Thailand,21010,Transport policy and administrative management,6.4
2014/15,OOF,Thailand,21050,Air transport,153.7
2014/15,OOF,Thailand,31282,Forestry research,15
2014/15,OOF,Thailand,33181,Trade education/training,12
2014/15,OOF,Timor-Leste,31120,Agricultural development,59.7
2014/15,OOF,Tonga,31320,Fishery development,2738.1
2014/15,OOF,Tuvalu,31320,Fishery development,473.5
2014/15,OOF,Vanuatu,31320,Fishery development,948.4
2014/15,OOF,Viet Nam,21010,Transport policy and administrative management,6.4
2014/15,OOF,Cook Islands,31320,Fishery development,59.3
2014/15,OOF,Palau,31320,Fishery development,406.8
2014/15,OOF,South America Unspecified,25010,Business support services and institutions,32
2015/16,ODA,Afghanistan,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Afghanistan,31140,Agricultural water resources,1309.9
2015/16,ODA,Afghanistan,31150,Agricultural inputs,65
2015/16,ODA,Afghanistan,31161,Food crop production,240
2015/16,ODA,Afghanistan,31163,Livestock,240
2015/16,ODA,Afghanistan,31181,Agricultural education/training,266.4
2015/16,ODA,Afghanistan,31191,Agricultural services,94
2015/16,ODA,Antigua And Barbuda,31120,Agricultural development,3.9
2015/16,ODA,Antigua And Barbuda,31310,Fishing policy and administrative management,31.2
2015/16,ODA,Argentina,31181,Agricultural education/training,48.7
2015/16,ODA,Argentina,32161,Agro-industries,0.3
2015/16,ODA,Asia Unspecified,21020,Road transport,21116.2
2015/16,ODA,Asia Unspecified,24010,Financial policy and administrative management,1251.3
2015/16,ODA,Asia Unspecified,25010,Business support services and institutions,9965.3
2015/16,ODA,Asia Unspecified,31110,Agricultural policy and administrative management,1100
2015/16,ODA,Asia Unspecified,32130,Small and medium-sized enterprises (SME) development,2208.7
2015/16,ODA,Asia Unspecified,32262,Oil and gas,67449.3
2015/16,ODA,Asia Unspecified,33110,Trade policy and administrative management,441.8
2015/16,ODA,Asia Unspecified,33181,Trade education/training,3.7
2015/16,ODA,Bangladesh,22010,Communications policy and administrative management,20.7
2015/16,ODA,Bangladesh,23010,Energy policy and administrative management,600
2015/16,ODA,Bangladesh,23110,Energy policy and administrative management,461.4
2015/16,ODA,Bangladesh,24010,Financial policy and administrative management,287.5
2015/16,ODA,Bangladesh,24040,Informal/semi-formal financial intermediaries,423.6
2015/16,ODA,Bangladesh,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Bangladesh,25010,Business support services and institutions,412.1
2015/16,ODA,Bangladesh,31120,Agricultural development,790.1
2015/16,ODA,Bangladesh,31161,Food crop production,447.7
2015/16,ODA,Bangladesh,31182,Agricultural research,919.2
2015/16,ODA,Bangladesh,31195,Livestock/veterinary services,20.7
2015/16,ODA,Bangladesh,32130,Small and medium-sized enterprises (SME) development,20.7
2015/16,ODA,Bangladesh,32140,Cottage industries and handicraft,39.8
2015/16,ODA,Bangladesh,33110,Trade policy and administrative management,93.5
2015/16,ODA,Bangladesh,33120,Trade facilitation,2226.2
2015/16,ODA,Bangladesh,33122,"Trade customs duties, tariffs and levies",247
2015/16,ODA,Belize,31120,Agricultural development,14.1
2015/16,ODA,Belize,31150,Agricultural inputs,19.2
2015/16,ODA,Bhutan,23010,Energy policy and administrative management,120
2015/16,ODA,Bhutan,24081,Education/training in banking and financial services,8.6
2015/16,ODA,Bhutan,31110,Agricultural policy and administrative management,14.4
2015/16,ODA,Bhutan,31182,Agricultural research,205.9
2015/16,ODA,Bhutan,33110,Trade policy and administrative management,41.8
2015/16,ODA,Bhutan,33120,Trade facilitation,995.9
2015/16,ODA,Bhutan,33122,"Trade customs duties, tariffs and levies",110.5
2015/16,ODA,Botswana,24010,Financial policy and administrative management,20.5
2015/16,ODA,Botswana,31181,Agricultural education/training,55.5
2015/16,ODA,Botswana,31182,Agricultural research,30.4
2015/16,ODA,Brazil,32130,Small and medium-sized enterprises (SME) development,18
2015/16,ODA,Burkina Faso,31161,Food crop production,37.3
2015/16,ODA,Burkina Faso,32140,Cottage industries and handicraft,37.8
